what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986014406
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331986015500
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331986030031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986059343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986064328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986093593
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1331986095078
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331986117984
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331986118078
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1331986123765
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331986131343
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331986140109
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331986140890
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331986141140
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331986141296
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1331986143093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986144812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986145046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986147203
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986148859
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1331986150000
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1331986150062
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1331986150156
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331986151000
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331986151296
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textStart",1331986152250
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331986153078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331986154078
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1331986156484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986161625
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986166375
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331986167421
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986168500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986175281
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1331986175312
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986176718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986178828
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986179031
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1331986202812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986203203
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1331986203218
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331986209359
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1331986211609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986213359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986213843
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331986214531
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331986215968
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986217156
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986219046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1331986219062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986221984
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986223765
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1331986223781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986225968
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986227984
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1331986228015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986230234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986231750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1331986231781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986233171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986234703
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1331986234718
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986235937
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986237765
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1331986237781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986239468
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986241078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1331986241109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986242859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986244593
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1331986244609
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331986250031
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331986250187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331986251937
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1331986253781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986255265
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986255390
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331986255828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331986257218
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331986257359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331986257734
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331986258859
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331986259093
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331986259234
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1331986261156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986262281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331986262468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331986263031
